              L,     Z,     P
790,899.784,-5.6287
791,899.728,-5.6287
792,899.672,-5.6287
793,899.616,-5.6287
794,899.559,-5.6287
795,899.503,-5.6287
796,899.447,-5.6287
797,899.39,-5.6287
798,899.334,-5.6287
799,899.278,-5.6287
800,899.222,-5.6287
801,899.165,-5.6287
802,899.109,-5.6287
803,899.053,-5.6287
804,898.996,-5.6287
805,898.94,-5.6287
806,898.884,-5.6287
807,898.828,-5.6287
808,898.771,-5.6287
809,898.715,-5.6287
810,898.659,-5.6287
811,898.602,-5.6287
812,898.546,-5.6287
813,898.49,-5.6287
814,898.434,-5.6287
815,898.377,-5.6287
816,898.321,-5.6287
817,898.265,-5.6287
818,898.208,-5.6287
819,898.152,-5.6287
820,898.096,-5.6287
821,898.04,-5.6287
822,897.983,-5.6287
823,897.927,-5.6287
824,897.871,-5.6287
825,897.814,-5.6287
826,897.758,-5.6287
827,897.702,-5.6287
828,897.646,-5.6287
829,897.589,-5.6287
830,897.533,-5.6287
831,897.477,-5.6287
832,897.42,-5.6287
833,897.364,-5.6287
834,897.308,-5.6287
835,897.252,-5.6287
836,897.195,-5.6287
837,897.139,-5.6287
838,897.083,-5.6287
839,897.026,-5.6287
840,896.97,-5.6287
841,896.914,-5.6287
842,896.858,-5.6287
843,896.801,-5.6287
844,896.745,-5.6287
845,896.689,-5.6287
846,896.632,-5.6287
847,896.576,-5.6287
848,896.52,-5.6287
849,896.463,-5.6287
850,896.407,-5.6287
851,896.351,-5.6287
852,896.295,-5.6287
853,896.238,-5.6287
854,896.182,-5.6287
855,896.126,-5.6287
856,896.069,-5.6287
857,896.013,-5.6287
858,895.957,-5.6287
859,895.901,-5.6287
860,895.844,-5.6287
861,895.788,-5.6287
862,895.732,-5.6287
863,895.675,-5.6287
864,895.619,-5.6287
865,895.563,-5.6287
866,895.507,-5.6287
867,895.45,-5.6287
868,895.394,-5.6287
869,895.338,-5.6287
870,895.281,-5.6287
871,895.225,-5.6287
872,895.169,-5.6287
873,895.113,-5.6287
874,895.056,-5.6287
875,895,-5.6287
876,894.944,-5.6287
877,894.887,-5.6287
878,894.831,-5.6287
879,894.775,-5.6287
880,894.719,-5.6287
880.064,894.715,-5.6287
881,894.662,-5.5975
882,894.607,-5.5642
883,894.551,-5.5309
884,894.496,-5.4975
885,894.441,-5.4642
886,894.387,-5.4309
887,894.333,-5.3975
888,894.279,-5.3642
889,894.225,-5.3309
890,894.172,-5.2975
891,894.119,-5.2642
892,894.067,-5.2309
893,894.015,-5.1975
894,893.963,-5.1642
895,893.911,-5.1309
896,893.86,-5.0975
897,893.81,-5.0642
898,893.759,-5.0309
899,893.709,-4.9975
900,893.659,-4.9642
901,893.61,-4.9309
902,893.56,-4.8975
903,893.512,-4.8642
904,893.463,-4.8309
905,893.415,-4.7975
906,893.367,-4.7642
907,893.32,-4.7309
908,893.273,-4.6975
909,893.226,-4.6642
910,893.179,-4.6309
911,893.133,-4.5975
912,893.087,-4.5642
913,893.042,-4.5309
914,892.997,-4.4975
915,892.952,-4.4642
916,892.907,-4.4309
917,892.863,-4.3975
918,892.82,-4.3642
919,892.776,-4.3309
920,892.733,-4.2975
921,892.69,-4.2642
922,892.648,-4.2309
923,892.605,-4.1975
924,892.564,-4.1642
925,892.522,-4.1309
926,892.481,-4.0975
927,892.44,-4.0642
928,892.4,-4.0309
929,892.36,-3.9975
930,892.32,-3.9642
931,892.28,-3.9309
932,892.241,-3.8975
933,892.202,-3.8642
934,892.164,-3.8309
935,892.126,-3.7975
936,892.088,-3.7642
937,892.05,-3.7309
938,892.013,-3.6975
939,891.977,-3.6642
940,891.94,-3.6309
941,891.904,-3.5975
942,891.868,-3.5642
943,891.833,-3.5309
944,891.797,-3.4975
945,891.763,-3.4642
946,891.728,-3.4309
947,891.694,-3.3975
948,891.66,-3.3642
949,891.627,-3.3309
950,891.594,-3.2975
951,891.561,-3.2642
952,891.528,-3.2309
953,891.496,-3.1975
954,891.464,-3.1642
955,891.433,-3.1309
956,891.402,-3.0975
957,891.371,-3.0642
958,891.341,-3.0309
959,891.31,-2.9975
960,891.281,-2.9642
961,891.251,-2.9309
962,891.222,-2.8975
963,891.193,-2.8642
964,891.165,-2.8309
965,891.137,-2.7975
966,891.109,-2.7642
967,891.081,-2.7309
968,891.054,-2.6975
969,891.027,-2.6642
970,891.001,-2.6309
971,890.975,-2.5975
972,890.949,-2.5642
973,890.923,-2.5309
974,890.898,-2.4975
975,890.873,-2.4642
976,890.849,-2.4309
977,890.825,-2.3975
978,890.801,-2.3642
979,890.778,-2.3309
980,890.754,-2.2975
981,890.732,-2.2642
982,890.709,-2.2309
983,890.687,-2.1975
984,890.665,-2.1642
985,890.644,-2.1309
986,890.623,-2.0975
987,890.602,-2.0642
988,890.581,-2.0309
989,890.561,-1.9975
990,890.541,-1.9642
991,890.522,-1.9309
992,890.503,-1.8975
993,890.484,-1.8642
994,890.465,-1.8309
995,890.447,-1.7975
996,890.429,-1.7642
997,890.412,-1.7309
998,890.395,-1.6975
999,890.378,-1.6642
1000,890.362,-1.6309
1001,890.345,-1.5975
1002,890.33,-1.5642
1003,890.314,-1.5309
1004,890.299,-1.4975
1005,890.284,-1.4642
1006,890.27,-1.4309
1007,890.256,-1.3975
1008,890.242,-1.3642
1009,890.228,-1.3309
1010,890.215,-1.2975
1011,890.202,-1.2642
1012,890.19,-1.2309
1013,890.178,-1.1975
1014,890.166,-1.1642
1015,890.154,-1.1309
1016,890.143,-1.0975
1017,890.132,-1.0642
1018,890.122,-1.0309
1019,890.112,-0.9975
1020,890.102,-0.9642
1021,890.093,-0.9309
1022,890.083,-0.8975
1023,890.075,-0.8642
1024,890.066,-0.8309
1025,890.058,-0.7975
1026,890.05,-0.7642
1027,890.043,-0.7309
1028,890.036,-0.6975
1029,890.029,-0.6642
1030,890.022,-0.6309
1031,890.016,-0.5975
1032,890.01,-0.5642
1033,890.005,-0.5309
1034,890,-0.4975
1035,889.995,-0.4642
1036,889.99,-0.4309
1037,889.986,-0.3975
1038,889.982,-0.3642
1039,889.979,-0.3309
1040,889.976,-0.2975
1041,889.973,-0.2642
1042,889.971,-0.2309
1043,889.968,-0.1975
1044,889.967,-0.1642
1045,889.965,-0.1309
1046,889.964,-0.0975
1047,889.963,-0.0642
1048,889.963,-0.0309
1049,889.963,0.0025
1050,889.963,0.0358
1051,889.963,0.0691
1052,889.964,0.1025
1053,889.965,0.1358
1054,889.967,0.1691
1055,889.969,0.2025
1056,889.971,0.2358
1057,889.973,0.2691
1058,889.976,0.3025
1059,889.979,0.3358
1060,889.983,0.3691
1061,889.987,0.4025
1062,889.991,0.4358
1063,889.996,0.4691
1064,890,0.5025
1065,890.006,0.5358
1066,890.011,0.5691
1067,890.017,0.6025
1068,890.023,0.6358
1069,890.03,0.6691
1070,890.037,0.7025
1071,890.044,0.7358
1071.936,890.051,0.767
1072,890.051,0.767
1073,890.059,0.767
1074,890.067,0.767
1075,890.074,0.767
1076,890.082,0.767
1077,890.09,0.767
1078,890.097,0.767
1079,890.105,0.767
1080,890.113,0.767
1081,890.12,0.767
1082,890.128,0.767
1083,890.136,0.767
1084,890.143,0.767
1085,890.151,0.767
1086,890.159,0.767
1087,890.166,0.767
1088,890.174,0.767
1089,890.182,0.767
1090,890.189,0.767
1091,890.197,0.767
1092,890.205,0.767
1093,890.212,0.767
1094,890.22,0.767
1095,890.228,0.767
1096,890.235,0.767
1097,890.243,0.767
1098,890.251,0.767
1099,890.258,0.767
1100,890.266,0.767
1101,890.274,0.767
1102,890.281,0.767
1103,890.289,0.767
1104,890.297,0.767
1105,890.304,0.767
1106,890.312,0.767
1107,890.32,0.767
1108,890.327,0.767
1109,890.335,0.767
1110,890.343,0.767
1111,890.35,0.767
1112,890.358,0.767
1113,890.366,0.767
1114,890.373,0.767
1115,890.381,0.767
1116,890.389,0.767
1117,890.396,0.767
